timestamp,commit,profile,bench,metric,value_ms
1783550493,2d70d1d3a,release,list-scroll,build_ms,0.2032
1783550493,2d70d1d3a,release,list-scroll,frame_p50_ms,0.0100
1783550493,2d70d1d3a,release,list-scroll,frame_p95_ms,0.0114
1783550498,2d70d1d3a,release,documents-list,refresh_ms,42.0880
1783550498,2d70d1d3a,release,documents-list,scroll_p50_ms,0.0064
1783550498,2d70d1d3a,release,documents-list,mount_p50_ms,0.0085
1783550498,2d70d1d3a,release,documents-list,paint_p50_ms,0.2468
1783550503,2d70d1d3a,release,search-scroll,mount_p50_ms,0.0015
1783550503,2d70d1d3a,release,search-scroll,paint_p50_ms,0.3354
1783550503,2d70d1d3a,release,search-scroll,paint_p95_ms,0.4153
1783550531,2d70d1d3a,release,monster-scroll,mount_p50_ms,0.0869
1783550531,2d70d1d3a,release,monster-scroll,paint_p50_ms,0.7574
1783550531,2d70d1d3a,release,monster-scroll,paint_p95_ms,0.9757
1783550572,2d70d1d3a,release,monster-search-scroll,mount_p50_ms,0.0803
1783550572,2d70d1d3a,release,monster-search-scroll,mount_max_ms,0.1681
1783550572,2d70d1d3a,release,monster-search-scroll,paint_p50_ms,0.8548
1783550579,2d70d1d3a,release,render-scroll,avg_ms,0.8150
1783550579,2d70d1d3a,release,render-scroll,p50_ms,0.8044
1783550579,2d70d1d3a,release,render-scroll,p95_ms,0.9698
1783550586,2d70d1d3a,release,typing,monster_p50_ms,2.0295
1783550586,2d70d1d3a,release,typing,scratch_p50_ms,0.5660
1783550601,2d70d1d3a,release,monster-scroll,mount_p50_ms,0.0869
1783550601,2d70d1d3a,release,monster-scroll,paint_p50_ms,0.7512
1783550601,2d70d1d3a,release,monster-scroll,paint_p95_ms,0.9607
1783550609,2d70d1d3a,release,typing,monster_p50_ms,1.9669
1783550609,2d70d1d3a,release,typing,scratch_p50_ms,0.6430
1783550610,2d70d1d3a,release,list-scroll,build_ms,0.2199
1783550610,2d70d1d3a,release,list-scroll,frame_p50_ms,0.0071
1783550610,2d70d1d3a,release,list-scroll,frame_p95_ms,0.0075
1783550691,2d70d1d3a,debug,monster-search-scroll,mount_p50_ms,0.0000
1783550691,2d70d1d3a,debug,monster-search-scroll,mount_max_ms,0.0000
1783550691,2d70d1d3a,debug,monster-search-scroll,paint_p50_ms,0.0000
1783550692,2d70d1d3a,debug,typing,monster_p50_ms,13.0067
1783550692,2d70d1d3a,debug,typing,scratch_p50_ms,2.7419
1783550703,2d70d1d3a,debug,monster-scroll,mount_p50_ms,0.6715
1783550703,2d70d1d3a,debug,monster-scroll,paint_p50_ms,5.3299
1783550703,2d70d1d3a,debug,monster-scroll,paint_p95_ms,8.0153
1783550716,2d70d1d3a,debug,render-scroll,avg_ms,4.9135
1783550716,2d70d1d3a,debug,render-scroll,p50_ms,4.6672
